0,4.3464,3.6603,3.2879
10,4.3715,3.6988,3.3483
20,4.4408,3.8091,3.5048
30,4.5422,3.9715,3.7123
40,4.6693,4.173,3.9408
50,4.8192,4.4129,4.1679
60,4.9979,4.6875,4.3955
70,5.2139,4.9947,4.6352
80,5.4795,5.3283,4.9034
90,5.763,5.5548,5.2083
100,5.4609,5.2867,5.2292
110,5.1953,4.9599,4.8835
120,4.9831,4.6615,4.5211
130,4.8068,4.3947,4.1959
140,4.6585,4.1614,3.9118
150,4.5353,3.9637,3.6709
160,4.437,3.809,3.4817
170,4.372,3.7064,3.357
180,4.3489,3.6702,3.3133
190,4.3706,3.705,3.3556
200,4.4356,3.8095,3.4834
210,4.5432,3.9819,3.6954
220,4.689,4.2148,3.978
230,4.8656,4.489,4.3082
240,5.0661,4.783,4.6621
250,5.2865,5.0793,5.0124
260,5.5262,5.3635,5.3029
270,5.7628,5.5555,5.2654
280,5.5342,5.3839,4.9827
290,5.2945,5.0966,4.7269
300,5.0736,4.7978,4.5059
310,4.8742,4.5017,4.2723
320,4.6969,4.2248,4.0106
330,4.5487,3.9869,3.7423
340,4.4374,3.8064,3.5059
350,4.3692,3.6958,3.3444
360,4.3464,3.6603,3.2879
